presion , temperatura, humedad,  PM25, PM10 , CO , CH4 , CO2 , O3 
752, 22.55 ,45, 0.0 , 0.0 , 82.5 , 35.8 , 303.0 , 7.5 
752, 21.89 ,45, 0.0 , 0.0 , 79.4 , 35.8 , 278.6 , 7.4 
752, 21.86 ,45, 0.0 , 0.0 , 75.0 , 38.5 , 258.5 , 7.4 
752, 21.27 ,46, 0.0 , 0.0 , 79.8 , 35.0 , 248.6 , 7.5 
752, 19.64 ,50, 0.0 , 0.0 , 77.3 , 37.5 , 242.8 , 7.3 
752, 18.99 ,53, 1.0 , 1.0 , 75.2 , 37.1 , 230.6 , 7.5 
752, 19.29 ,51, 0.0 , 0.0 , 76.8 , 35.6 , 221.5 , 7.5 
752, 17.67 ,55, 0.0 , 0.0 , 72.6 , 38.2 , 211.8 , 7.3 
752, 17.74 ,55, 0.0 , 0.0 , 73.0 , 36.2 , 205.9 , 8.0 
752, 17.71 ,56, 2.0 , 2.0 , 73.8 , 37.0 , 199.1 , 7.4 
752, 17.27 ,58, 1.0 , 1.0 , 73.1 , 37.9 , 193.0 , 7.3 
753, 17.61 ,57, 0.0 , 0.0 , 73.8 , 37.2 , 189.3 , 7.4 
753, 17.33 ,57, 2.0 , 2.0 , 74.3 , 36.4 , 183.8 , 7.7 
753, 17.62 ,57, 8.0 , 9.0 , 76.8 , 35.5 , 178.9 , 7.4 
753, 16.96 ,58, 2.0 , 2.0 , 73.0 , 36.6 , 170.3 , 7.5 
753, 17.06 ,57, 3.0 , 3.0 , 73.1 , 37.9 , 164.2 , 7.2 
753, 16.39 ,59, 4.0 , 4.0 , 74.3 , 38.2 , 160.6 , 7.3 
753, 16.76 ,60, 1.0 , 4.0 , 73.2 , 36.5 , 158.2 , 7.4 
754, 15.71 ,62, 2.0 , 2.0 , 72.2 , 36.6 , 161.1 , 7.4 
754, 16.36 ,60, 0.0 , 1.0 , 70.9 , 37.7 , 148.5 , 7.3 
754, 16.24 ,60, 0.0 , 0.0 , 72.5 , 36.9 , 145.6 , 7.3 
754, 16.53 ,59, 1.0 , 1.0 , 72.7 , 36.5 , 142.1 , 7.3 
754, 16.42 ,62, 0.0 , 0.0 , 73.8 , 35.7 , 141.2 , 7.4 
754, 16.55 ,61, 0.0 , 0.0 , 74.2 , 36.1 , 138.2 , 7.3 
754, 15.70 ,65, 0.0 , 0.0 , 75.2 , 35.5 , 133.7 , 7.3 
754, 16.04 ,63, 0.0 , 0.0 , 73.6 , 35.9 , 129.1 , 7.3 
754, 16.30 ,62, 0.0 , 0.0 , 72.4 , 36.7 , 124.6 , 7.2 
754, 16.41 ,59, 0.0 , 0.0 , 71.3 , 37.9 , 121.1 , 7.2 
754, 16.24 ,61, 0.0 , 0.0 , 72.5 , 36.1 , 122.3 , 7.4 
754, 15.36 ,61, 1.0 , 1.0 , 70.5 , 39.3 , 114.1 , 7.1 
754, 15.52 ,63, 0.0 , 0.0 , 70.4 , 37.5 , 112.8 , 7.3 
754, 15.38 ,65, 0.0 , 0.0 , 71.5 , 36.5 , 112.3 , 7.3 
754, 15.33 ,64, 0.0 , 0.0 , 70.3 , 37.4 , 107.5 , 7.2 
754, 15.04 ,65, 0.0 , 0.0 , 71.0 , 37.0 , 105.4 , 7.2 
754, 15.08 ,66, 0.0 , 0.0 , 71.4 , 36.3 , 104.0 , 7.2 
754, 15.14 ,66, 0.0 , 0.0 , 71.1 , 36.6 , 100.1 , 7.2 
753, 15.08 , nan , 0.0 , 1.0 , 70.7 , 36.7 , 98.7 , 7.2 
753, 15.25 ,66, 0.0 , 0.0 , 71.3 , 36.0 , 96.0 , 7.2 
753, 15.34 ,65, 0.0 , 0.0 , 70.8 , 36.6 , 92.6 , 7.2 
753, 15.19 ,66, 0.0 , 1.0 , 71.7 , 35.8 , 94.1 , 7.2 
753, 14.99 ,67, 0.0 , 0.0 , 71.7 , 35.8 , 91.7 , 7.3 
753, 14.82 ,69, 0.0 , 0.0 , 71.3 , 35.8 , 88.6 , 7.2 
753, 14.88 ,68, 0.0 , 0.0 , 71.8 , 35.2 , 87.6 , 7.3 
753, 14.74 ,69, 0.0 , 0.0 , 71.4 , 35.0 , 85.2 , 7.3 
753, 14.17 ,70, 0.0 , 0.0 , 68.6 , 36.3 , 82.4 , 7.2 
752, 15.24 ,66, 0.0 , 0.0 , 71.7 , 35.8 , 82.4 , 7.2 
752, 15.15 ,67, 0.0 , 0.0 , 70.2 , 36.3 , 79.3 , 7.2 
752, 15.13 ,66, 0.0 , 0.0 , 70.7 , 36.1 , 79.6 , 7.2 
752, 15.30 ,66, 0.0 , 0.0 , 70.9 , 35.4 , 78.6 , 7.3 
752, 15.20 ,66, 0.0 , 0.0 , 70.3 , 36.1 , 77.6 , 7.3 
753, 14.96 ,68, 0.0 , 0.0 , 70.3 , 35.6 , 74.6 , 7.3 
753, 14.45 ,69, 0.0 , 0.0 , 69.7 , 36.2 , 74.3 , 7.2 
753, 14.57 ,69, 3.0 , 4.0 , 69.6 , 36.4 , 71.9 , 7.2 
752, 14.56 ,66, 0.0 , 0.0 , 68.9 , 37.7 , 70.5 , 7.2 
753, 14.94 ,68, 1.0 , 1.0 , 72.5 , 34.9 , 69.0 , 7.2 
753, 14.69 ,69, 1.0 , 1.0 , 70.0 , 35.7 , 68.0 , 7.2 
753, 14.60 ,69, 2.0 , 2.0 , 70.3 , 35.3 , 71.1 , 7.4 
753, 14.82 ,68, 4.0 , 4.0 , 70.4 , 34.9 , 71.0 , 7.4 
753, 14.71 ,68, 2.0 , 2.0 , 69.9 , 35.7 , 65.7 , 7.3 
753, 14.85 ,68, 1.0 , 1.0 , 70.2 , 35.3 , 64.9 , 7.4 
753, 14.48 ,70, 2.0 , 2.0 , 70.7 , 34.2 , 65.3 , 7.5 
753, 15.30 ,66, 1.0 , 2.0 , 69.1 , 35.4 , 61.2 , 7.5 
753, 16.39 ,63, 5.0 , 6.0 , 71.8 , 33.6 , 62.4 , 7.7 
754, 16.33 ,63, 6.0 , 6.0 , 71.8 , 35.2 , 60.8 , 7.3 
754, 16.63 ,64, 2.0 , 2.0 , 71.4 , 33.9 , 60.6 , 7.4 
754, 16.70 ,61, 1.0 , 1.0 , 69.9 , 35.1 , 56.9 , 7.4 
754, 17.84 ,57, 1.0 , 3.0 , 71.2 , 34.5 , 57.9 , 7.5 
754, 17.88 ,57, 1.0 , 2.0 , 70.2 , 35.5 , 54.6 , 7.4 
754, 18.27 ,56, 0.0 , 0.0 , 71.9 , 33.7 , 55.7 , 7.5 
754, 19.29 ,52, 0.0 , 0.0 , 70.9 , 35.9 , 53.1 , 7.4 
754, 20.85 ,49, 2.0 , 2.0 , 72.6 , 34.5 , 52.4 , 7.5 
754, 19.79 ,50, 0.0 , 0.0 , 70.9 , 35.0 , 51.2 , 7.5 
754, 19.69 ,51, 0.0 , 0.0 , 71.5 , 34.5 , 51.0 , 7.4 
754, 20.02 ,51, 13.0 , 17.0 , 71.4 , 33.8 , 49.5 , 7.5 
754, 19.04 ,52, 0.0 , 0.0 , 68.6 , 36.3 , 48.7 , 7.4 
754, 19.95 ,49, 0.0 , 0.0 , 69.6 , 36.1 , 48.1 , 7.4 
754, 20.17 ,51, 3.0 , 3.0 , 71.0 , 34.6 , 48.0 , 7.5 
754, 19.93 ,50, 0.0 , 0.0 , 71.2 , 34.6 , 49.0 , 7.4 
754, 19.54 ,53, 0.0 , 0.0 , 70.3 , 35.6 , 45.7 , 7.4 
754, 21.38 ,48, 0.0 , 0.0 , 72.5 , 34.4 , 47.0 , 7.5 
754, 20.38 ,50, 1.0 , 1.0 , 70.8 , 33.4 , 44.5 , 7.5 
754, 21.15 ,47, 2.0 , 2.0 , 70.1 , 35.6 , 43.0 , 7.4 
753, 21.48 ,46, 4.0 , 4.0 , 71.1 , 33.9 , 42.2 , 7.6 
753, 20.54 ,46, 0.0 , 0.0 , 67.4 , 36.9 , 41.5 , 7.3 
753, 21.87 ,44, 0.0 , 0.0 , 70.7 , 35.1 , 41.5 , 7.5 
753, 20.68 ,47, 0.0 , 0.0 , 70.7 , 33.4 , 40.1 , 7.5 
753, 21.89 ,43, 1.0 , 3.0 , 70.3 , 35.1 , 40.1 , 7.4 
753, 22.84 ,42, 0.0 , 0.0 , 76.2 , 34.7 , 39.9 , 7.5 
753, 24.18 ,39, 0.0 , 0.0 , 74.3 , 33.5 , 38.9 , 7.7 
753, 22.12 ,44, 0.0 , 1.0 , 73.1 , 32.4 , 39.1 , 7.7 
753, 22.59 ,43, 0.0 , 0.0 , 70.7 , 35.0 , 38.2 , 7.5 
752, 21.87 ,44, 0.0 , 0.0 , 72.4 , 32.6 , 38.1 , 7.6 
752, 22.59 ,42, 0.0 , 0.0 , 75.1 , 32.4 , 37.8 , 7.6 
752, 22.01 ,44, 0.0 , 0.0 , 72.8 , 34.1 , 36.7 , 7.5 
752, 22.67 ,41, 1.0 , 1.0 , 71.2 , 34.5 , 36.9 , 7.5 
752, 22.35 ,42, 1.0 , 2.0 , 71.2 , 33.5 , 36.0 , 7.5 
752, 22.18 ,44, 0.0 , 0.0 , 72.1 , 32.8 , 35.8 , 7.6 
752, 21.20 ,47, 0.0 , 0.0 , 72.9 , 32.8 , 36.0 , 7.5 
752, 21.13 ,48, 3.0 , 3.0 , 72.2 , 32.9 , 35.3 , 7.7 
753, 19.84 ,52, 1.0 , 3.0 , 71.2 , 32.5 , 35.5 , 7.7 
752, 20.51 ,48, 0.0 , 0.0 , 72.7 , 34.6 , 34.9 , 7.5 
753, 20.65 ,51, 1.0 , 1.0 , 70.1 , 33.8 , 33.9 , 7.5 
753, 19.45 ,52, 0.0 , 0.0 , 68.6 , 34.1 , 33.7 , 7.5 
753, 19.10 ,53, 1.0 , 2.0 , 69.0 , 34.0 , 33.8 , 7.5 
753, 18.86 ,54, 1.0 , 1.0 , 68.8 , 34.2 , 33.8 , 7.5 
753, 17.06 ,60, 1.0 , 1.0 , 68.3 , 33.7 , 33.6 , 7.5 
754, 17.78 ,58, 1.0 , 2.0 , 68.5 , 33.0 , 33.4 , 7.6 
754, 17.62 ,59, 2.0 , 2.0 , 70.1 , 32.1 , 34.1 , 7.8 
754, 17.94 ,58, 4.0 , 4.0 , 69.0 , 33.2 , 33.1 , 7.6 
754, 17.88 ,58, 0.0 , 0.0 , 68.3 , 33.9 , 33.3 , 7.6 
754, 17.89 ,57, 3.0 , 3.0 , 68.0 , 34.4 , 33.8 , 7.5 
754, 17.57 ,57, 22.0 , 22.0 , 68.1 , 33.9 , 34.8 , 7.8 
754, 16.37 ,60, 8.0 , 8.0 , 67.4 , 33.6 , 35.5 , 7.7 
754, 16.19 ,61, 16.0 , 19.0 , 66.5 , 34.4 , 33.3 , 7.6 
754, 16.55 ,59, 8.0 , 9.0 , 66.1 , 35.0 , 32.7 , 7.6 
754, 16.52 ,59, 4.0 , 7.0 , 65.9 , 35.0 , 32.1 , 7.6 
754, 15.72 ,61, 6.0 , 14.0 , 64.6 , 36.7 , 32.5 , 7.6 
754, 15.30 ,63, 3.0 , 4.0 , 64.6 , 35.9 , 32.0 , 7.6 
755, 15.87 ,61, 3.0 , 3.0 , 65.2 , 35.3 , 31.4 , 7.7 
755, 15.72 ,61, 3.0 , 4.0 , 64.4 , 35.3 , 31.5 , 7.7 
755, 15.61 ,60, 3.0 , 4.0 , 63.6 , 36.6 , 30.4 , 7.4 
755, 15.71 ,61, 3.0 , 3.0 , 63.7 , 36.6 , 31.3 , 7.4 
755, 14.97 ,64, 7.0 , 7.0 , 63.4 , 36.4 , 30.9 , 7.6 
755, 15.31 ,61, 1.0 , 1.0 , 62.7 , 37.2 , 29.9 , 7.3 
755, 15.75 ,59, 2.0 , 2.0 , 62.8 , 37.1 , 29.6 , 7.4 
755, 15.14 ,61, 2.0 , 2.0 , 62.6 , 37.2 , 29.6 , 7.3 
755, 14.67 ,63, 2.0 , 2.0 , 62.2 , 37.3 , 29.3 , 7.2 
755, 14.26 ,65, 6.0 , 6.0 , 62.4 , 36.0 , 30.1 , 7.4 
755, 13.94 ,66, 3.0 , 5.0 , 61.6 , 37.8 , 28.9 , 7.2 
755, 14.71 ,64, 1.0 , 1.0 , 63.7 , 36.7 , 27.8 , 7.2 
754, 14.79 ,64, 0.0 , 0.0 , 62.5 , 36.5 , 27.8 , 7.2 
754, 14.31 ,65, 0.0 , 1.0 , 62.5 , 35.8 , 28.5 , 7.3 
754, 14.07 ,67, 1.0 , 1.0 , 62.6 , 35.7 , 27.7 , 7.3 
754, 14.08 ,66, 0.0 , 0.0 , 61.9 , 36.6 , 27.2 , 7.2 
754, 14.11 ,67, 0.0 , 0.0 , 62.1 , 36.2 , 26.9 , 7.2 
754, 14.15 ,67, 0.0 , 0.0 , 61.7 , 36.4 , 26.8 , 7.2 
754, 13.26 ,69, 0.0 , 0.0 , 61.4 , 36.0 , 26.9 , 7.2 
754, 13.51 ,67, 0.0 , 0.0 , 60.3 , 37.7 , 26.4 , 7.1 
754, 13.63 ,66, 0.0 , 0.0 , 61.0 , 38.3 , 26.4 , 7.1 
754, 12.49 ,70, 0.0 , 0.0 , 60.2 , 37.1 , 25.8 , 7.1 
753, 12.92 ,69, 0.0 , 1.0 , 60.7 , 37.1 , 25.8 , 7.1 
753, 13.42 ,68, 0.0 , 0.0 , 62.0 , 36.3 , 25.4 , 7.1 
753, 13.40 ,69, 0.0 , 0.0 , 61.1 , 36.1 , 25.3 , 7.2 
753, 13.00 ,70, 0.0 , 0.0 , 60.6 , 36.4 , 24.5 , 7.2 
753, 13.67 ,67, 0.0 , 0.0 , 60.6 , 36.4 , 23.9 , 7.2 
753, 13.49 ,68, 1.0 , 1.0 , 62.0 , 35.7 , 24.0 , 7.3 
753, 14.65 ,64, 0.0 , 0.0 , 61.5 , 36.1 , 24.4 , 7.2 
753, 13.39 ,68, 1.0 , 1.0 , 60.3 , 36.2 , 23.8 , 7.2 
753, 14.40 ,64, 0.0 , 0.0 , 60.7 , 36.7 , 23.5 , 7.2 
753, 14.75 ,64, 1.0 , 1.0 , 61.3 , 36.6 , 23.4 , 7.2 
753, 15.12 ,63, 1.0 , 1.0 , 61.9 , 35.9 , 23.8 , 7.3 
753, 14.94 ,63, 2.0 , 2.0 , 61.7 , 35.8 , 23.7 , 7.3 
753, 14.79 ,63, 1.0 , 1.0 , 62.3 , 36.7 , 23.8 , 7.2 
754, 14.43 ,66, 0.0 , 0.0 , 60.9 , 36.1 , 23.3 , 7.3 
754, 13.87 ,69, 2.0 , 2.0 , 61.7 , 35.3 , 23.9 , 7.4 
754, 14.43 ,65, 4.0 , 4.0 , 60.4 , 37.3 , 23.0 , 7.2 
754, 15.43 ,62, 3.0 , 3.0 , 62.2 , 36.0 , 22.8 , 7.3 
754, 15.62 ,60, 3.0 , 3.0 , 61.9 , 36.2 , 22.2 , 7.4 
754, 16.32 ,58, 1.0 , 1.0 , 62.0 , 35.6 , 22.2 , 7.4 
755, 17.00 ,58, 1.0 , 3.0 , 62.7 , 35.3 , 21.6 , 7.4 
755, 17.21 ,57, 2.0 , 2.0 , 62.8 , 35.1 , 21.3 , 7.5 
755, 17.57 ,55, 4.0 , 4.0 , 62.7 , 35.3 , 20.8 , 7.4 
755, 17.76 , nan , 1.0 , 2.0 , 63.2 , 34.7 , 21.1 , 7.5 
755, 17.28 ,56, 0.0 , 0.0 , 61.6 , 35.9 , 20.3 , 7.3 
755, 17.97 ,53, 0.0 , 0.0 , 62.4 , 35.2 , 20.3 , 7.4 
755, 19.45 ,49, 0.0 , 0.0 , 63.4 , 35.1 , 20.2 , 7.4 
755, 19.77 ,47, 0.0 , 0.0 , 61.9 , 36.5 , 19.4 , 7.3 
755, 21.13 ,43, 2.0 , 2.0 , 64.8 , 34.3 , 19.9 , 7.8 
755, 21.09 ,43, 5.0 , 7.0 , 63.5 , 35.4 , 19.4 , 7.5 
755, 22.41 ,39, 2.0 , 4.0 , 64.5 , 35.1 , 19.6 , 7.6 
754, 22.61 ,39, 0.0 , 0.0 , 64.3 , 35.1 , 18.7 , 7.6 
