presion,temperatura,humedad,PM25,PM10,CO,CH4,CO2,O3
754,22.86,43,6.3,6.4,164.4,32.4,332.0,9.1
753,23.14,42,8.2,8.3,175.5,31.9,329.0,9.6
753,22.26,43,9.3,10.2,160.8,33.3,332.0,9.0
754,22.15,43,4.6,4.6,146.0,34.8,324.0,8.5
754,22.14,43,10.5,12.8,141.3,36.1,324.0,8.2
754,21.99,44,4.1,4.1,156.0,34.2,340.0,8.7
754,21.43,46,10.9,11.4,144.0,35.7,364.0,8.3
754,21.14,45,6.3,6.3,149.3,35.6,333.0,8.5
754,20.40,48,4.2,4.5,159.6,32.2,323.0,8.7
754,20.17,50,9.1,9.2,170.0,31.2,320.0,8.9
754,19.80,50,19.4,22.3,152.7,33.0,307.0,8.4
754,19.78,51,6.8,7.1,193.8,29.4,333.0,9.5
754,19.35,51,12.9,13.0,155.2,33.1,313.0,8.5
754,19.93,50,7.4,7.4,188.0,30.1,338.0,9.6
754,19.14,50,13.0,13.1,148.4,34.7,324.0,8.3
755,19.57,50,5.2,5.8,162.7,32.7,333.0,8.8
755,18.97,50,6.9,7.9,158.1,33.2,331.0,8.6
755,18.54,51,4.7,4.7,159.2,33.8,302.0,8.9
755,18.43,52,2.9,2.9,142.2,35.0,325.0,8.1
755,18.71,51,4.7,5.2,170.4,32.2,317.0,8.9
756,18.29,52,3.9,4.8,149.1,33.8,320.0,8.4
756,18.20,53,8.8,11.1,151.4,33.6,322.0,8.4
756,18.39,52,5.5,5.5,156.7,33.3,322.0,8.6
756,17.82,53,3.0,3.5,137.0,36.0,290.0,8.0
756,17.96,53,18.4,23.7,149.3,34.7,321.0,8.4
756,17.93,54,5.4,7.2,143.6,35.4,311.0,8.2
756,17.60,55,36.9,44.0,133.9,36.7,305.0,7.8
756,17.43,55,7.3,8.9,132.5,36.6,307.0,7.7
756,17.34,54,1.4,1.7,138.3,36.1,298.0,8.0
756,16.87,55,1.9,2.3,137.5,36.9,294.0,7.9
755,16.85,55,2.0,2.0,144.8,36.0,302.0,8.1
755,16.91,54,0.7,0.7,130.4,38.6,296.0,7.7
755,16.28,55,0.4,0.5,129.2,40.9,305.0,7.1
755,16.09,55,0.8,0.8,125.6,39.6,300.0,7.4
755,16.04,55,0.5,0.6,126.1,39.9,303.0,7.3
755,16.22,55,1.1,1.3,126.0,39.1,309.0,7.5
755,16.34,54,2.6,2.9,124.8,39.2,301.0,7.4
754,16.13,55,0.5,0.6,126.7,39.5,298.0,7.3
754,16.45,55,0.6,0.6,125.7,39.6,296.0,7.1
754,16.29,55,0.3,0.3,123.4,39.2,288.0,7.4
754,16.14,55,0.3,0.3,124.4,39.8,288.0,7.3
754,16.39,54,0.6,0.6,126.6,39.2,304.0,7.3
754,16.54,55,0.4,0.4,126.0,38.3,306.0,7.4
754,16.70,55,0.3,0.3,125.1,37.8,315.0,7.4
754,16.79,56,0.3,0.3,129.0,37.9,305.0,7.3
754,16.47,58,0.5,0.5,130.7,36.5,313.0,7.4
754,16.19,59,0.3,0.3,130.4,35.4,303.0,7.5
754,16.77,57,0.4,0.5,128.2,36.4,305.0,7.5
754,16.18,63,0.4,0.4,134.7,33.8,306.0,7.6
754,16.43,61,2.8,2.9,133.1,34.4,307.0,7.6
754,16.17,60,0.2,0.2,133.0,35.9,305.0,7.5
754,15.82,63,0.5,0.5,135.9,34.0,310.0,7.6
754,16.00,61,0.2,0.2,132.0,34.7,301.0,7.5
754,15.45,60,0.7,0.7,131.3,37.2,311.0,7.5
754,15.25,61,0.5,0.5,140.9,34.9,310.0,7.8
754,15.41,61,0.7,0.7,137.1,36.0,288.0,7.4
754,15.38,60,1.5,1.5,129.2,37.1,294.0,7.4
754,15.50,60,0.3,0.4,129.3,36.9,308.0,7.4
754,15.63,58,1.8,1.9,127.1,37.5,310.0,7.4
754,15.52,59,1.8,1.8,134.3,36.5,316.0,7.7
754,15.68,58,18.5,20.0,134.4,36.4,311.0,7.6
754,16.00,58,3.4,3.4,145.3,34.5,310.0,8.1
754,15.96,58,3.5,3.6,151.5,33.7,311.0,8.3
754,16.57,57,9.6,9.6,187.7,30.3,326.0,9.7
754,16.73,57,5.5,5.6,171.2,32.1,317.0,9.0
754,16.86,57,7.7,7.8,165.7,31.8,327.0,8.9
755,17.09,60,5.4,5.4,164.9,31.6,316.0,8.9
755,17.61,58,4.3,4.3,167.4,32.0,323.0,9.0
